epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,488.916,0.44724,0.38071,0.83621,0.97749,0.96429,0.97004,0.90633,0.34685,0.29996,0.76151,0.00033425,0.00033425,0.00033425
76,495.15,0.44924,0.3892,0.84303,0.98684,0.95833,0.96962,0.87039,0.4845,0.33129,0.77106,0.000321875,0.000321875,0.000321875
77,501.517,0.48178,0.40405,0.8464,0.98677,0.96429,0.97193,0.90953,0.33871,0.28721,0.76867,0.0003095,0.0003095,0.0003095
78,508.105,0.43169,0.38257,0.84147,0.97897,0.97024,0.97814,0.91644,0.33911,0.30424,0.76493,0.000297125,0.000297125,0.000297125
79,514.36,0.42476,0.37125,0.83336,0.99117,0.9594,0.97896,0.91778,0.34137,0.29403,0.76268,0.00028475,0.00028475,0.00028475
80,520.767,0.42806,0.3879,0.83561,0.99163,0.95424,0.97544,0.92623,0.30087,0.27711,0.75917,0.000272375,0.000272375,0.000272375
81,527.196,0.4454,0.39784,0.83606,0.98309,0.95833,0.96909,0.91317,0.33144,0.28845,0.76488,0.00026,0.00026,0.00026
82,533.578,0.42873,0.37228,0.83897,0.99221,0.95864,0.97349,0.90108,0.41409,0.30739,0.76568,0.000247625,0.000247625,0.000247625
83,539.99,0.44771,0.39308,0.83516,0.99186,0.95956,0.97264,0.92791,0.30288,0.2757,0.76302,0.00023525,0.00023525,0.00023525
84,546.346,0.42095,0.36944,0.84796,0.98466,0.96843,0.97452,0.9222,0.34201,0.28413,0.7638,0.000222875,0.000222875,0.000222875
85,552.752,0.40292,0.35581,0.8257,0.98566,0.95331,0.96937,0.89394,0.40051,0.29652,0.76455,0.0002105,0.0002105,0.0002105
86,559.239,0.416,0.36026,0.83675,0.98842,0.95905,0.96973,0.9159,0.34948,0.28597,0.75702,0.000198125,0.000198125,0.000198125
87,565.626,0.40562,0.37215,0.83553,0.98917,0.95804,0.97487,0.91752,0.34147,0.29059,0.75847,0.00018575,0.00018575,0.00018575
88,572.09,0.39763,0.35709,0.82196,0.99523,0.94887,0.97205,0.91809,0.32179,0.2859,0.76253,0.000173375,0.000173375,0.000173375
89,578.472,0.3936,0.34997,0.82098,0.97868,0.96429,0.97505,0.93254,0.29176,0.26973,0.75875,0.000161,0.000161,0.000161
90,584.77,0.39972,0.35852,0.82642,0.97692,0.95879,0.97164,0.9272,0.30581,0.27763,0.75579,0.000148625,0.000148625,0.000148625
91,591.01,0.33938,0.31907,0.78805,0.9863,0.95833,0.97463,0.93181,0.27677,0.26732,0.75538,0.00013625,0.00013625,0.00013625
92,597.203,0.33258,0.31055,0.7953,0.99061,0.95794,0.97402,0.93813,0.2799,0.26414,0.75622,0.000123875,0.000123875,0.000123875
93,603.447,0.31817,0.31169,0.794,0.99208,0.96429,0.97579,0.93505,0.29555,0.27903,0.7569,0.0001115,0.0001115,0.0001115
94,609.713,0.31331,0.30931,0.79245,0.99278,0.96899,0.97887,0.93825,0.28764,0.2656,0.75777,9.9125e-05,9.9125e-05,9.9125e-05
95,615.817,0.31345,0.30765,0.79641,0.99378,0.96594,0.97897,0.93745,0.28989,0.26533,0.75795,8.675e-05,8.675e-05,8.675e-05
96,622.089,0.31282,0.30702,0.78318,0.99364,0.96589,0.97228,0.92983,0.28326,0.2717,0.75581,7.4375e-05,7.4375e-05,7.4375e-05
97,628.441,0.30563,0.29894,0.78985,0.99128,0.96836,0.97249,0.93485,0.2825,0.26531,0.75459,6.2e-05,6.2e-05,6.2e-05
98,634.673,0.30904,0.29452,0.77827,0.99088,0.96881,0.97435,0.93928,0.27391,0.26063,0.7562,4.9625e-05,4.9625e-05,4.9625e-05
99,640.822,0.28896,0.29235,0.79326,0.98955,0.96913,0.97461,0.93923,0.27288,0.2626,0.7565,3.725e-05,3.725e-05,3.725e-05
100,647.06,0.29194,0.29088,0.79099,0.98931,0.96883,0.97432,0.93795,0.27374,0.26339,0.7556,2.4875e-05,2.4875e-05,2.4875e-05
